A6NFN3	0.9231255998
Q15334	0.3695249663
Q15561	0.5601346584
Q2M2Z5	0.7068982808000001
Q8NB90	0.7070440029
P40692	0.9119982832
Q92759	0.399311379
P68104	0.9828508243
P47895	0.3669348627
O00567	0.9764567734
Q7L9L4	0.568053295
Q5EB52	0.0738578977
P21912	0.3388506257
Q6DN90	0.3868044654
Q96T37	0.9090133736
Q53GQ0	0.2711687311
O15228	0.168622605
Q9H0S4	0.9317168602
O60884	0.7179020441
Q08209	0.9141102114
Q96QE5	0.7809046601
Q9UBL0	0.6916570040000001
Q8IV08	0.0680285047
Q9H3U7	0.4260975156
O43581	0.3084292898
O75363	0.7011478021
Q3B726	0.73731486
Q9HAW0	0.3346567011
Q9NRI5	0.2540409225
Q9Y580	0.9387907021
Q03721	0.1039541739
Q14192	0.1681993873
O60765	0.2628137072
Q99650	0.1140008806
Q15942	0.7614954071000001
P61513	0.9580028872
Q9BYD3	0.6905438165000001
Q96BF6	0.5749954609
P43487	0.8767517584000001
Q96EP1	0.5948172713000001
Q9UNZ5	
Q8NDT2	0.9088542347
Q86VQ1	0.3460466963
Q96I25	0.9599705874
Q9UHC1	0.7679303974
Q86UR5	0.9469065884
P98170	0.2439764376
O43423	0.3661322928
Q96NN9	0.5454581274
P81133	0.3289357108
P07199	0.7108325683000001
Q92569	0.8036246944000001
Q8N983	0.8339296251
Q8IYL9	0.0650536268
Q9UKN8	0.6236853982
Q04206	0.8477199166
P05164	0.2075176828
O43684	0.3078702444
Q9BUB5	0.9429030508
Q9Y5K6	0.6770719144
O94901	0.0704175908
Q13409	0.3416129983
Q07020	0.9354532471
Q00604	0.0749359268
P34896	0.8606629278
Q69YQ0	0.6180545244
P20248	0.7737425244
O15397	0.4789760831
Q8TAW3	0.2202480698
Q9NRD5	0.8265844049000001
Q6PEW1	0.5505284767
Q7Z401	0.5119752748
Q16514	0.8329361537000001
Q9NYP3	0.1546880343
Q9BXX2	
O94811	0.7074732904000001
Q96C19	0.6822879252
O75907	0.0506080401
Q92979	0.9014070179
Q9BUH8	0.4582542927
O75347	0.9406122457
Q96F07	0.4882394891
Q6ZWB6	0.4287389285
Q9Y572	0.8356820611
Q9H116	0.4827998865
P16415	0.2539696137
Q4G0A6	0.1765399898
P45973	0.5792320543
O43520	0.4129616766
P0DPI2	0.5065256365
P02679	0.3305372543
O75190	0.8376720389000001
Q15198	0.7134088872000001
Q9P2D3	0.2493952188
Q9NP64	0.9347202105
P33991	0.8353006193
P09417	0.403930842
Q8IZ83	0.095881402
A8MU93	
Q9H3U5	0.0441884626
P21399	0.9115703946
Q13823	0.9388530454
Q9NPH5	0.3961298324
P0DOY2	0.555835484
A6H8Y1	0.5622410928
Q9NYB9	0.7910857658
P46060	0.9691430433
Q9Y4F1	0.563560935
Q16828	0.9463434045
P11586	0.7274609894
Q8WV60	0.8285280148
O60879	0.7030387713
Q7L622	0.1726612305
Q9NZ56	0.4268770599
Q9NYF8	0.934297392
Q8IYA8	0.5312436226
Q14139	0.4433668642
P78352	0.7472970553
O15550	0.5687388696
P29122	0.0801236517
Q9HA38	0.8102240798
Q8N9N2	0.8497999267
P38432	0.8491927114000001
P11177	0.3047531713
P09661	0.9600601953
Q8TEP8	0.6468328721000001
Q8TF21	
P28370	0.7520044572
Q9UKC9	0.3229700005
Q06265	0.9435616301
O75694	0.2131780316
Q86XP3	0.9375217606
Q8NHR7	0.393671475
P41227	0.6013214127000001
Q9UQM7	0.946292047
P06729	0.3506636349
Q96GQ7	0.9713270435
Q8IVF6	
O95104	0.9187762002
P46459	0.8880893639
Q6NSZ9	0.190234673
Q8NEU8	0.4656746007
Q9Y5L4	0.382699504
Q9HB58	0.3864150332
A8MV65	0.3378771577
Q9NZJ7	0.0830901632
Q13155	0.4025044742
Q8WVM0	0.8323971513
Q8WWK9	0.5746565403
Q9H0E2	0.7618416434
P61254	0.9588879121
O75367	0.90595221
P52594	0.9177425258
Q7Z3K6	0.7770660060000001
Q9BSF4	0.1097085002
Q9P2H5	0.2973123141
Q14416	0.0784753833
O43681	0.6619318527
Q96SB4	0.944595844
O14595	0.8880525086000001
Q92613	0.4759818162
P02794	0.4473562036
P09038	0.3962279779
Q8WTS6	0.568091133
Q02246	0.2332243201
P10909	0.5925264595
Q9UKL6	0.1344788967
Q96JK9	0.3617388619
